Год,Акции РФ,Bytcoin,Депозиты в рублях (до года),Золото
2003,0.426900,0.000000,0.001000,-0.002600
2004,-0.049300,0.000000,-0.015500,-0.123700
2005,0.650200,0.000000,-0.011000,0.084400
2006,0.542400,0.000000,-0.006400,0.029700
2007,-0.003000,0.000000,-0.039100,0.085700
2008,-0.708100,0.000000,-0.055400,0.081800
2009,1.057600,0.000000,0.008300,0.195600
2010,0.140300,0.000000,0.038500,0.171600
2011,-0.201700,0.000000,0.020300,0.100600
2012,0.010500,0.000000,0.027600,-0.073700
2013,-0.011300,0.000000,0.029900,-0.276400
2014,-0.127200,-0.895346,-0.027300,0.525500
2015,0.159900,0.401590,0.021400,0.006200
2016,0.247400,0.987125,0.043700,-0.146800
2017,-0.035900,12.330384,0.057500,0.025900
2018,0.130900,-0.844464,0.028600,0.132200
2019,0.330900,0.821940,0.044000,0.017900
2020,0.083700,3.423875,0.009700,0.388400
2021,0.112500,0.835020,-0.036000,-0.109500
2022,-0.445100,-0.685267,-0.037500,-0.166200
2023,0.417900,3.034345,0.006600,0.337400